epoch time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
,,,,,,,
1577836610.0,3.0,40.5571098,-80.0595779,15237.0,Sulfur. Hydrogen Sulfide.  Clairton Coke Works.,Sore throat and lungs.  Cough.,
1577836610.0,3.0,40.5571098,-80.0595779,15237.0,Sulfur. Hydrogen Sulfide.  Clairton Coke Works.,Sore throat and lungs.  Cough.,
1577836610.0,3.0,40.5571098,-80.0595779,15237.0,Sulfur. Hydrogen Sulfide.  Clairton Coke Works.,Sore throat and lungs.  Cough.,
1577836610.0,3.0,40.5571098,-80.0595779,15237.0,Sulfur. Hydrogen Sulfide.  Clairton Coke Works.,Sore throat and lungs.  Cough.,
1577850486.0,3.0,40.4231377,-79.9203873,15217.0,Industrial,No,
1577852394.0,3.0,40.381115,-79.8609848,15110.0,Industrial ,Eye irritation ,
1577857682.0,3.0,40.3077278,-79.8609085,15037.0,us steel clairton,headache,it has been one smelly and miserable breathing holiday season.  Hope 2020 is better and it will be when you fix these monitors cause they are not working Instead of looking at them you should spend so time in this area Lincoln Boro
1577857682.0,3.0,40.3077278,-79.8609085,15037.0,us steel clairton,headache,it has been one smelly and miserable breathing holiday season.  Hope 2020 is better and it will be when you fix these monitors cause they are not working Instead of looking at them you should spend so time in this area Lincoln Boro
1577857682.0,3.0,40.3077278,-79.8609085,15037.0,us steel clairton,headache,it has been one smelly and miserable breathing holiday season.  Hope 2020 is better and it will be when you fix these monitors cause they are not working Instead of looking at them you should spend so time in this area Lincoln Boro
1577857682.0,3.0,40.3077278,-79.8609085,15037.0,us steel clairton,headache,it has been one smelly and miserable breathing holiday season.  Hope 2020 is better and it will be when you fix these monitors cause they are not working Instead of looking at them you should spend so time in this area Lincoln Boro
1577857682.0,3.0,40.3077278,-79.8609085,15037.0,us steel clairton,headache,it has been one smelly and miserable breathing holiday season.  Hope 2020 is better and it will be when you fix these monitors cause they are not working Instead of looking at them you should spend so time in this area Lincoln Boro
1577857682.0,3.0,40.3077278,-79.8609085,15037.0,us steel clairton,headache,it has been one smelly and miserable breathing holiday season.  Hope 2020 is better and it will be when you fix these monitors cause they are not working Instead of looking at them you should spend so time in this area Lincoln Boro
1577857682.0,3.0,40.3077278,-79.8609085,15037.0,us steel clairton,headache,it has been one smelly and miserable breathing holiday season.  Hope 2020 is better and it will be when you fix these monitors cause they are not working Instead of looking at them you should spend so time in this area Lincoln Boro
1577883411.0,3.0,40.3077812,-79.8609085,15037.0,u s steel clairton,,
1577883411.0,3.0,40.3077812,-79.8609085,15037.0,u s steel clairton,,
1577889355.0,4.0,40.3462486,-79.9344788,15122.0,Particulate matter And industrial,"Tightness in chest, stuffy head, difficulty breathing",
1577893514.0,1.0,40.430397,-79.8953247,15218.0,,,"Beautiful day in Regent Square, thanks to the western winds keeping the coke pollution at bay. "
1577893514.0,1.0,40.430397,-79.8953247,15218.0,,,"Beautiful day in Regent Square, thanks to the western winds keeping the coke pollution at bay. "
1577900767.0,5.0,40.4591103,-79.9311371,15206.0,"Rotten eggs, sewage ","Headache, sore throat nausea ",
1577902474.0,1.0,40.3508415,-79.8897629,15034.0,,,
1577907016.0,1.0,40.4299469,-79.8608856,15221.0,,,
1577910815.0,1.0,40.3508453,-79.8930511,15034.0,,,
1577914571.0,1.0,40.3047791,-80.0476074,15102.0,,,
1577916369.0,1.0,40.4773293,-79.9260483,15206.0,,,
1577916369.0,1.0,40.4773293,-79.9260483,15206.0,,,
1577925727.0,4.0,40.3840141,-80.0026398,15234.0,Industrial..rotten eggs,Headache and nose is stinging,"And happy new stinking year!  Ever day on this hill near Carmalt school we get all the pollution
  Why did the Health department take down the monitoring station here?  We had one until 8ish years ago."
1577925727.0,4.0,40.3840141,-80.0026398,15234.0,Industrial..rotten eggs,Headache and nose is stinging,"And happy new stinking year!  Ever day on this hill near Carmalt school we get all the pollution
  Why did the Health department take down the monitoring station here?  We had one until 8ish years ago."
1577932775.0,5.0,40.4373207,-79.8961868,15221.0,Woodsmoke,,
1577935111.0,5.0,40.4030609,-79.8423538,15104.0,"Acrid, trashy, rotten, putrid, toxic","Watery eyes, itchy irritated eyes, burning in my eyes and nostrils",We suffered through the same toxic mess last year. Please support the health of residents in the Mon Valley.
1577941123.0,4.0,40.6254807,-79.7174911,15065.0,Toxic sulfur smell,,
1577941915.0,3.0,40.4335213,-79.924202,15217.0,"Industrial exhaust, sulfur",,
1577945790.0,4.0,40.4300003,-79.8469238,15221.0,Rotten eggs ,"Irritating nose, throat and eyes.  Can’t breathe that in ",
1577945790.0,4.0,40.4300003,-79.8469238,15221.0,Rotten eggs ,"Irritating nose, throat and eyes.  Can’t breathe that in ",
1577945790.0,4.0,40.4300003,-79.8469238,15221.0,Rotten eggs ,"Irritating nose, throat and eyes.  Can’t breathe that in ",
1577945790.0,4.0,40.4300003,-79.8469238,15221.0,Rotten eggs ,"Irritating nose, throat and eyes.  Can’t breathe that in ",
1577962569.0,5.0,40.3646011,-79.8616104,15122.0,"Hydrogen sulfate, sulfur dioxide, Clairton Works and Irvin Works",,
1577964875.0,5.0,40.4755592,-79.8357315,15235.0,industrial ,hard to breathe and bothers eyes ,
1577969969.0,5.0,40.4356155,-79.8598099,15221.0,Industrial,Headache,
1577971489.0,3.0,40.4205017,-79.8850784,15218.0,,,
1577975158.0,4.0,40.4236832,-79.8432846,15221.0,Rotten eggs,Burning eyes,WILL THIS EVER HAVE AN END!!!!
